source_key,authors,year,title,journal_or_owner,source_type,doi,stable_url,full_text_status,primary_or_review,evidence_grade,topics,notes
"BAT34","Burger et al.","2024","Additive Influence on Binder Migration in Electrode Drying","Energy Technology","journal article","10.1002/ente.202400057","https://doi.org/10.1002/ente.202400057","official full text inspected in Schabel synthesis","primary experiment","C","Laponite; binder migration; adhesion; tortuosity; fast drying","Water-based graphite. Selected gel-forming additive conditions reduced rate sensitivity of adhesion but increased tortuosity and could impair rate performance; no direct crack-threshold test."
"BAT35","Burger et al.","2025","Simultaneous Primer Coating for Fast Drying of Battery Electrodes","Energy Technology","journal article","10.1002/ente.202401668","https://doi.org/10.1002/ente.202401668","official full text inspected in Schabel synthesis","primary experiment","C","wet-on-wet primer; fast drying; adhesion; binder reduction; cell performance","Water-based graphite with a wet-on-wet primer. Added water inventory and a new interface; binder migration persisted in some cases and cracking was not the principal endpoint."
"BAT36","Mohacsi et al.","2024 online / 2025 print","In-line monitoring of a multi-stage drying process for battery electrodes: vol. 1—applying methods of scattered light measurement","European Physical Journal Special Topics","journal article","10.1140/epjs/s11734-024-01402-0","https://doi.org/10.1140/epjs/s11734-024-01402-0","official full text inspected in Schabel synthesis","primary sensing experiment","C","scattered light; in-line sensing; pore emptying; multistage switch","Water-based graphite. Surface roughening can act as an operational pore-emptying proxy but the signal can be late for thin or fast coatings and does not measure crack initiation."
"BAT37","Mohacsi et al.","2025","In-line monitoring of a multi-stage drying process for battery electrodes: vol. 2—advancing measurement techniques with chromatic confocal sensors","European Physical Journal Special Topics","journal article","10.1140/epjs/s11734-025-01649-1","https://doi.org/10.1140/epjs/s11734-025-01649-1","official full text inspected in Schabel synthesis","primary sensing experiment","C","chromatic confocal; in-line thickness; surface roughness; pore emptying","Water-based graphite. Confocal roughness detects an onset but tends to saturate after pore emptying begins and cannot identify the full internal state or cracking."
"BAT38","Keim et al.","2025","CMC Staining Method for the Visualization of the Binder Distribution in Water-Based Electrodes with EDS","ACS Applied Energy Materials","journal article","10.1021/acsaem.5c00048","https://doi.org/10.1021/acsaem.5c00048","official article and method details inspected in Schabel synthesis","primary method + demonstration","C","CMC staining; binder profile; EDS; fast drying","Selective ex-situ method for NaCMC in water-based graphite electrodes; does not track SBR or PVDF and does not identify the migration force or crack mechanism."
"FC01","Quarz et al.","2024","Carbon Nanotubes (CNT) as an additive towards crack-free catalyst coated membranes (CCM)","International Journal of Hydrogen Energy","journal article","10.1016/j.ijhydene.2024.01.049","https://doi.org/10.1016/j.ijhydene.2024.01.049","official KIT open PDF fully inspected for relevant figures and text","primary experiment","D2","catalyst layer; CNT; crack area; thickness; CCT; film temperature","Pt/C-Nafion water/1-propanol catalyst layers directly coated on a polymer membrane. Defect area includes cracks and spalling; micrometre thickness CNT fractions and numerical thresholds do not transfer to LFP."
"FC02","Zimmerer et al.","2026","In-situ investigation of crack formation during drying of catalyst layers for polymer electrolyte membrane (PEM) fuel cells and electrolyzer","Colloids and Surfaces A: Physicochemical and Engineering Aspects","journal article","10.1016/j.colsurfa.2025.138807","https://doi.org/10.1016/j.colsurfa.2025.138807","official abstract and metadata inspected; detailed source audit supplied by independent review","primary in-situ experiment","D2","catalyst layer; in-situ cracking; film temperature; solvent composition; optical imaging","Pt/C-Nafion water/1-propanol thin catalyst layers. Film-temperature rise and optical appearance are event proxies; the study is not a thick battery electrode or a mechanical-lock measurement."
"FC03","Zimmerer et al.","2026","Optimizing Drying Parameters for Crack-Free Catalyst Layers in PEM Fuel Cell Production","Chemical Engineering & Technology","journal article","10.1002/ceat.70192","https://doi.org/10.1002/ceat.70192","official KIT open PDF fully inspected","primary experiment","D2","catalyst layer; crack area; film temperature; heat and mass transfer; air preloading","Pt/C-Nafion water/1-propanol layers about 7-10 um. Calculated mean drying rates neglect selective evaporation; temperature airflow and solvent preloading have chemistry-specific effects."
"BAK01","Zanoni et al.","1993","A study of the bread-baking process. I: A phenomenological model","Journal of Food Engineering","journal article","10.1016/0260-8774(93)90027-H","https://doi.org/10.1016/0260-8774(93)90027-H","abstract and metadata inspected","primary experiment + interpretation","D2","bread baking; temperature; moisture; evaporation front","Centimetre-scale water-based food; phenomenological front is not an electrode NMP front."
"BAK02","Zanoni et al.","1994","Study of the bread baking process II. Mathematical modelling","Journal of Food Engineering","journal article","10.1016/0260-8774(94)90057-4","https://doi.org/10.1016/0260-8774(94)90057-4","abstract and author manuscript inspected","model + experimental validation","D2/T","moving evaporation front; crust; crumb; heat and mass transfer","Validated reduced-order bread model; does not prove a sharp front in electrodes."
"BAK03","Purlis and Salvadori","2009","Bread baking as a moving boundary problem. Part 1: Mathematical modelling","Journal of Food Engineering","journal article","10.1016/j.jfoodeng.2008.09.037","https://doi.org/10.1016/j.jfoodeng.2008.09.037","abstract and metadata inspected","model + experiment","D2/T","moving boundary; evaporation-condensation; bread","Model architecture may inspire tests; water-food parameters do not transfer."
"BAK04","Purlis and Salvadori","2009","Bread baking as a moving boundary problem. Part 2: Model validation and numerical simulation","Journal of Food Engineering","journal article","10.1016/j.jfoodeng.2008.09.038","https://doi.org/10.1016/j.jfoodeng.2008.09.038","author manuscript inspected","model + experimental validation","D2/T","temperature; moisture; mass loss; crust thickness","Validation method transfers conceptually; geometry and phase changes differ from electrodes."
"BAK05","Ureta et al.","2019","Water transport during bread baking: Impact of the baking temperature and the baking time","Food Science and Technology International","journal article","10.1177/1082013218814144","https://doi.org/10.1177/1082013218814144","author manuscript inspected","primary experiment + interpretation","D2","local moisture; local temperature; core moisture increase; crust resistance","Supports distributed evaporation-condensation in bread; significant NMP recondensation remains unproven."
"BAK06","Lucas et al.","2024","Non-invasive NMR investigation of the evaporation-condensation-diffusion mechanism in unyeasted bread dough during heating","Journal of Food Engineering","journal article","10.1016/j.jfoodeng.2024.111969","https://doi.org/10.1016/j.jfoodeng.2024.111969","abstract and metadata inspected","primary NMR experiment","D2","NMR; inward moisture redistribution; thermal gradient","Spatial evidence is useful methodologically; unyeasted water dough is not an NMP electrode."
"BAK07","Vanin et al.","2009","Crust formation and its role during bread baking","Trends in Food Science & Technology","review article","10.1016/j.tifs.2009.04.001","https://doi.org/10.1016/j.tifs.2009.04.001","author manuscript inspected","review","D2","crust definition; heat-moisture dynamics; structural transitions","Bread crust includes starch protein and browning transformations absent in LFP."
"BAK08","Zhang et al.","2007","Effects of crust constraints on bread expansion and CO2 release","Journal of Food Engineering","journal article","10.1016/j.jfoodeng.2006.10.008","https://doi.org/10.1016/j.jfoodeng.2006.10.008","abstract and metadata inspected","primary experiment","D2","artificial crust constraint; expansion; CO2 release; porosity","Surface constraint principle is transferable; bread positive-pressure expansion has a different stress sign."
"BAK09","Ben Aissa et al.","2010","Volume change of bread and bread crumb during cooling chilling and freezing and the impact of baking","Journal of Cereal Science","journal article","10.1016/j.jcs.2009.10.006","https://doi.org/10.1016/j.jcs.2009.10.006","abstract and metadata inspected","primary experiment","D2","post-bake contraction; cooling; degree of baking","Post-oven observation logic transfers; foam gas and food transitions do not."
"BAK10","Baik and Chinachoti","2000","Moisture Redistribution and Phase Transitions During Bread Staling","Cereal Chemistry","journal article","10.1094/CCHEM.2000.77.4.484","https://doi.org/10.1094/CCHEM.2000.77.4.484","abstract and metadata inspected","primary experiment","D2","crumb-to-crust moisture redistribution; staling","Long-term water sorption and starch retrogradation are not electrode processes."
"BAK11","Kim and Okos","1999","Some physical mechanical and transport properties of crackers related to the checking phenomenon","Journal of Food Engineering","journal article","10.1016/S0260-8774(99)00055-2","https://doi.org/10.1016/S0260-8774(99)00055-2","publisher preview inspected","primary measurements + model","D2","cracker transport; relaxation; mechanical properties; checking","Food glass transition and free-sheet boundary differ from foil-supported electrodes."
"BAK12","Saleem et al.","2005","Improved understanding of biscuit checking using speckle interferometry and finite-element modelling techniques","Proceedings of the Royal Society A","journal article","10.1098/rspa.2005.1469","https://doi.org/10.1098/rspa.2005.1469","full text inspected","primary experiment + validated model","D2","moisture gradient; delayed checking; full-field strain; viscoelasticity","Electrodes do not normally absorb NMP from ambient; transfer delayed-gradient architecture only."
"BAK13","Bedas et al.","2019","Study of the distribution of water within a biscuit during cooling; effect on the checking and the breakage","Food Chemistry","journal article","10.1016/j.foodchem.2019.125078","https://doi.org/10.1016/j.foodchem.2019.125078","open manuscript and abstract inspected","primary experiment","D2","NIR moisture imaging; Karl Fischer; cooling; delayed cracking","Geometry and food chemistry differ; supports average-moisture insufficiency."
"BAK14","Ahmad et al.","2001","Effects of microwave on the drying checking and mechanical strength of baked biscuits","Journal of Food Engineering","journal article","10.1016/S0260-8774(00)00186-2","https://doi.org/10.1016/S0260-8774(00)00186-2","publisher preview inspected","primary intervention experiment","D2","microwave; moisture uniformity; checking; mechanical strength","Reported 61 to 5 percent checking change is recipe/device specific and not an electrode effect size."
"BAK15","Goehring","2009","Drying and cracking mechanisms in a starch slurry","Physical Review E","journal article","10.1103/PhysRevE.80.036116","https://doi.org/10.1103/PhysRevE.80.036116","full text inspected","primary experiment + multiphase model","D2","starch slurry; dual porosity; liquid and vapor transport; cracking","Strong particulate bridge but starch absorbs water deforms and lacks PVDF carbon and foil."
"BAK16","Crostack et al.","2012","Analysis of Crack Patterns in Drying Corn Starch by in-situ Radiography and X-ray Computer Tomography","Experimental Mechanics","journal article","10.1007/s11340-011-9581-1","https://doi.org/10.1007/s11340-011-9581-1","abstract and metadata inspected","primary in-situ experiment","D2","starch; radiography; CT; crack front; columnar cracks","Deep cake and columnar cracking are outside thin-electrode geometry."
"BAK17","Akiba et al.","2017","Morphometric analysis of polygonal cracking patterns in desiccated starch slurries","Physical Review E","journal article","10.1103/PhysRevE.96.023003","https://doi.org/10.1103/PhysRevE.96.023003","preprint and metadata inspected","primary experiment + interpretation","D2","starch type; particle shape; thickness; crack morphology","Starch type changes more than particle size and shape; no numerical transfer to LFP."
"BAK18","Sun et al.","2023","The entrainment and evolution of gas bubbles in bread dough—A review","Cereal Chemistry","review article","10.1002/cche.10699","https://doi.org/10.1002/cche.10699","publisher full text inspected","review","D2","bread dough; gas bubbles; mixing; proving; baking; bubble size distribution","Supports the existence and continued evolution of a pre-baking bubble population in dough; food foam mechanics do not transfer to electrodes."
